run_id,backbone,seed,tags,shortlist,params_total,params_encoder,best_dev_cer,best_dev_epoch,test_cer,test_wer,chunked_2s_reset_cer,chunked_5s_reset_cer,chunked_10s_reset_cer,chunked_2s_carry_cer,chunked_5s_carry_cer,chunked_10s_carry_cer,avg_epoch_sec,total_train_sec,n_epochs,peak_mem_gb,git_sha,gpu_name,torch_version
lion_delta_seed42,lion_delta,42.0,,False,7937821,6026240,0.13657486030545019,30,0.1372809682879526,0.4007047036848361,0.24029464276902482,0.17290358276746012,0.15615034129841915,,,,68.83740017414092,2065.122005224228,30,4.51761408,6b4c52160ed013655c8e0d4ed37a34a77eafcb09,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,2.11.0+cu130
lucid_exp01_rwkv6_seed42,rwkv6,42.0,,False,7736605,5825024,0.12579423509989643,28,0.12629706223163273,0.3764009169638309,0.2641007662419308,0.1715778249088409,0.14682426628912065,0.1954542831173992,0.1533676659110591,0.14284533329297688,110.20876157283783,3306.262847185135,30,4.640192512,232e0d30d44f978f8a586308483a3478d5c95d44,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
lucid_exp02_lion_seed42,lion,42.0,,False,7736605,5825024,0.10696383834724885,29,0.10728183499774863,0.31679826795720833,0.18191155403246,0.13415654885142597,0.12365991117284589,,,,79.44224005540212,2383.2672016620636,30,3.593515008,2cb1a599b843a82143e0f331f35356c2e7803fc0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
lucid_exp03_rwkv6_lucid_seed42,rwkv6_lucid,42.0,,False,7736629,5825048,0.12186538893682272,29,0.12163045938080681,0.3616700628290032,0.25836522258212397,0.1669255055832721,0.1410886291125735,0.18510747205202335,0.14825170673583044,0.1378665960056593,175.14695467948914,5254.408640384674,30,5.014564864,232e0d30d44f978f8a586308483a3478d5c95d44,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
lucid_exp04_lion_lucid_seed42,lion_lucid,42.0,,False,7736629,5825048,0.10848931850668866,30,0.10744088504302002,0.31584309730005095,0.18235715720193804,0.13426258851643108,0.12355204937108187,,,,135.3464603662491,4060.3938109874725,30,5.296151552,2cb1a599b843a82143e0f331f35356c2e7803fc0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
lucid_exp05_lion_convshift_seed42,lion_convshift,42.0,,False,7741213,5829632,0.10404293855898505,29,0.10438240779170534,0.31006962132789945,0.18009494246150318,0.12942469567509307,0.11875319865294245,,,,79.11122685273489,2373.3368055820465,30,3.631417856,2cb1a599b843a82143e0f331f35356c2e7803fc0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
lucid_exp06_rwkv6_lucid_sr_seed42,rwkv6_lucid_sr,42.0,,False,7736629,5825048,0.14779097999013183,29,0.14834556570268273,0.43345644421803364,0.264614087025172,0.2012049300225164,0.16766206940107917,0.280321256712921,0.26478329592813793,0.17604475870801012,148.53242183526356,4455.972655057907,30,4.717980672,2cb1a599b843a82143e0f331f35356c2e7803fc0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,2.11.0+cu130
mamba_cuda_ep10_seed42,mamba_cuda,,,False,7304221,5392640,0.18427096755668768,9,0.1807618985814435,0.5182968245882154,0.2613850490722272,0.20642309115037227,0.18938900599641573,,,,60.238476800918576,602.3847680091858,10,0.0,,,
mamba_pytorch_ep10_seed42,mamba,,,False,7304221,5392640,0.1892,10,0.18569225075139914,0.5308413992188826,0.26692649956740866,0.21189189977499684,0.1944541910190256,0.2708677453792383,0.2266986483378585,0.21318479019015268,426.7,4267.0,10,0.0,,,
mamba_cuda_ep10_seed42,mamba_cuda,,,False,7304221,5392640,0.18412410951388214,10,0.17988155422321883,0.5182543725590083,0.2603352822771855,0.2059431613230055,0.18943917204762503,,,,60.47810056209564,604.7810056209564,10,0.0,,,
