epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step,is_projected
21,0.7122,0.2132,0.4366,0.1307,0.3866,961.0,0.0001920014205104,3.086,9800.0,10.222938112,28182,True
22,0.7052,0.2225,0.4238,0.1288,0.3762,961.0,0.0001827504538854,3.228,9800.0,10.222938112,29524,True
23,0.6842,0.2087,0.4239,0.1253,0.3719,961.0,0.0001733679896869,2.75,9800.0,10.222938112,30866,True
24,0.673,0.2091,0.4126,0.1235,0.3625,961.0,0.0001638922838502,3.158,9800.0,10.222938112,32208,True
25,0.6624,0.2145,0.4045,0.1208,0.3552,961.0,0.0001543619724928,3.092,9800.0,10.222938112,33550,True
26,0.658,0.2157,0.3969,0.1204,0.3542,961.0,0.0001448159143798,3.081,9800.0,10.222938112,34892,True
27,0.6476,0.2152,0.3943,0.1178,0.3497,961.0,0.0001352930324823,3.423,9800.0,10.222938112,36234,True
28,0.6399,0.2179,0.39,0.1146,0.3435,961.0,0.0001258321552727,3.222,9800.0,10.222938112,37576,True
29,0.6273,0.2141,0.3806,0.1149,0.3431,961.0,0.0001164718584064,3.088,9800.0,10.222938112,38918,True
30,0.6217,0.2243,0.3781,0.112,0.3327,961.0,0.0001072503074339,3.697,9800.0,10.222938112,40260,True
31,0.6107,0.2109,0.3752,0.1105,0.3317,961.0,9.820510218494985e-05,3.327,9800.0,10.222938112,41602,True
32,0.5993,0.2044,0.3714,0.1083,0.3267,961.0,8.93731234595715e-05,2.822,9800.0,10.222938112,42944,True
33,0.602,0.2101,0.3688,0.1086,0.3262,961.0,8.079038265085588e-05,3.487,9800.0,10.222938112,44286,True
34,0.5938,0.2118,0.3637,0.1053,0.3153,961.0,7.249187491248151e-05,2.74,9800.0,10.222938112,45628,True
35,0.5865,0.2304,0.3673,0.1063,0.314,961.0,6.451143646997119e-05,3.643,9800.0,10.222938112,46970,True
36,0.5871,0.2331,0.3627,0.1039,0.3104,961.0,5.688160665731407e-05,2.867,9800.0,10.222938112,48312,True
37,0.578,0.2296,0.3508,0.1052,0.3131,961.0,4.963349524151644e-05,2.879,9800.0,10.222938112,49654,True
38,0.5704,0.2076,0.352,0.1031,0.3113,961.0,4.279665557605e-05,3.617,9800.0,10.222938112,50996,True
39,0.566,0.2093,0.3525,0.1035,0.3112,961.0,3.639896410039955e-05,3.15,9800.0,10.222938112,52338,True
40,0.5668,0.2171,0.3526,0.102,0.3069,961.0,3.046650667703816e-05,3.197,9800.0,10.222938112,53680,True
41,0.5658,0.2236,0.3473,0.1021,0.3025,961.0,2.502347222927697e-05,2.946,9800.0,10.222938112,55022,True
42,0.5604,0.2179,0.3436,0.1008,0.3063,961.0,2.0092054113669912e-05,2.784,9800.0,10.222938112,56364,True
43,0.5528,0.2029,0.3468,0.1009,0.3007,961.0,1.5692359629115345e-05,3.616,9800.0,10.222938112,57706,True
44,0.5492,0.2145,0.3416,0.0999,0.3022,961.0,1.1842328031622222e-05,3.048,9800.0,10.222938112,59048,True
45,0.5478,0.2081,0.3425,0.1,0.2995,961.0,8.557657389025035e-06,3.266,9800.0,10.222938112,60390,True
46,0.5472,0.2075,0.3439,0.0995,0.2978,961.0,5.8517405738901545e-06,3.133,9800.0,10.222938112,61732,True
